Date,Apple
2001-02-09,1.1963
2001-02-12,1.2319
2001-02-13,1.1963
2001-02-14,1.22
2001-02-15,1.2551
2001-02-16,1.1888
2001-02-20,1.1456
2001-02-21,1.1806
2001-02-22,1.1769
2001-02-23,1.1769
2001-02-26,1.22
2001-02-27,1.2119
2001-02-28,1.1418
2001-03-01,1.1731
2001-03-02,1.2044
2001-03-05,1.2745
2001-03-06,1.3452
2001-03-07,1.3295
2001-03-08,1.302
2001-03-09,1.267
2001-03-12,1.165
2001-03-13,1.2238
2001-03-14,1.2789
2001-03-15,1.2319
2001-03-16,1.2276
2001-03-19,1.2864
2001-03-20,1.2319
2001-03-21,1.2588
2001-03-22,1.3527
2001-03-23,1.439
2001-03-26,1.3627
2001-03-27,1.4309
2001-03-28,1.3871
2001-03-29,1.4096
2001-03-30,1.3808
2001-04-02,1.3508
2001-04-03,1.2663
2001-04-04,1.22
2001-04-05,1.3058
2001-04-06,1.2882
2001-04-09,1.2851
2001-04-10,1.379
2001-04-11,1.3639
2001-04-12,1.4027
2001-04-16,1.3414
2001-04-17,1.2764
2001-04-18,1.4259
2001-04-19,1.6092
2001-04-20,1.5667
2001-04-23,1.5172
2001-04-24,1.5035
2001-04-25,1.5466
2001-04-26,1.5448
2001-04-27,1.6392
2001-04-30,1.5948
2001-05-01,1.6223
2001-05-02,1.6636
2001-05-03,1.5617
2001-05-04,1.6111
2001-05-07,1.5617
2001-05-08,1.5373
2001-05-09,1.5003
2001-05-10,1.439
2001-05-11,1.4296
2001-05-14,1.4572
2001-05-15,1.4503
2001-05-16,1.5079
2001-05-17,1.4734
2001-05-18,1.4722
2001-05-21,1.4741
2001-05-22,1.4703
2001-05-23,1.4534
2001-05-24,1.4515
2001-05-25,1.424
2001-05-29,1.3433
2001-05-30,1.2376
2001-05-31,1.2482
2001-06-01,1.307
2001-06-04,1.2926
2001-06-05,1.3101
2001-06-06,1.297
2001-06-07,1.3552
2001-06-08,1.3339
2001-06-11,1.2538
2001-06-12,1.2707
2001-06-13,1.2807
2001-06-14,1.2438
2001-06-15,1.2789
2001-06-18,1.272
2001-06-19,1.2632
2001-06-20,1.3558
2001-06-21,1.4071
2001-06-22,1.3927
2001-06-25,1.501
2001-06-26,1.486
2001-06-27,1.4603
2001-06-28,1.4728
2001-06-29,1.4547
2001-07-02,1.4953
2001-07-03,1.4916
2001-07-05,1.4509
2001-07-06,1.3783
2001-07-09,1.4203
2001-07-10,1.3227
2001-07-11,1.4102
2001-07-12,1.5241
2001-07-13,1.5548
2001-07-16,1.4991
2001-07-17,1.5704
2001-07-18,1.3008
2001-07-19,1.2488
2001-07-20,1.2501
2001-07-23,1.2225
2001-07-24,1.1944
2001-07-25,1.1556
2001-07-26,1.1631
2001-07-27,1.1863
2001-07-30,1.1844
2001-07-31,1.1756
2001-08-01,1.1925
2001-08-02,1.2401
2001-08-03,1.22
2001-08-06,1.1969
2001-08-07,1.2044
2001-08-08,1.1825
2001-08-09,1.1919
2001-08-10,1.19
2001-08-13,1.1944
2001-08-14,1.1719
2001-08-15,1.1537
2001-08-16,1.1669
2001-08-17,1.1306
2001-08-20,1.1337
2001-08-21,1.1212
2001-08-22,1.1393
2001-08-23,1.1143
2001-08-24,1.1619
2001-08-27,1.1838
2001-08-28,1.1512
2001-08-29,1.1156
2001-08-30,1.1156
2001-08-31,1.1606
2001-09-04,1.1418
2001-09-05,1.1606
2001-09-06,1.1087
2001-09-07,1.0811
2001-09-10,1.0868
2001-09-17,1.063
2001-09-18,1.0186
2001-09-19,1.0649
2001-09-20,0.981
2001-09-21,0.9842
2001-09-24,1.0292
